Departamento Original,Departamento Normalizado
Amazonas,Amazonas
Antioquia,Antioquia
Arauca,Arauca
Atlántico,Atlántico
Bogotá,Bogotá D.C.
Bogota,Bogotá D.C.
Bogota D.C,Bogotá D.C.
Bolívar,Bolívar
Boyacá,Boyacá
Caldas,Caldas
Caquetá,Caquetá
Casanare,Casanare
Cauca,Cauca
Cesar,Cesar
Chocó,Chocó
Córdoba,Córdoba
Cordoba,Córdoba
Cundinamarca,Cundinamarca
Guainía,Guainía
Guaviare,Guaviare
Huila,Huila
La Guajira,La Guajira
Magdalena,Magdalena
Meta,Meta
Nariño,Nariño
Norte de Santander,Norte de Santander
Putumayo,Putumayo
Quindío,Quindío
Risaralda,Risaralda
San Andrés,San Andrés
Santander,Santander
Sucre,Sucre
Tolima,Tolima
Valle del Cauca,Valle del Cauca
Vaupés,Vaupés
Vichada,Vichada
